M2000 Base, 55.60 Ibs, with 0 MPH Crosswind.CSV,15481.81,26.310605000000002,8.280185,1101.60424719874,2985.924
M2000 Base, 55.60 Ibs, with 12 MPH Crosswind.CSV,15342.17,26.170595,8.350195,1097.11,2976.459
M2000 Base, 55.60 Ibs, with 16 MPH Crosswind.CSV,15243.21,26.060595,8.410195,1093.524,2968.875
M2000 Base, 55.60 Ibs, with 20 MPH Crosswind.CSV,15116.03,25.910595,8.490195,1088.907,2959.084
M2000 Base, 55.60 Ibs, with 4 MPH Crosswind.CSV,15454.24,26.260604999999998,8.290185,1101.19,2985.092
M2000 Base, 55.60 Ibs, with 8 MPH Crosswind.CSV,15412.34,26.230595,8.310185,1099.661,2981.865
M2000 Base, 57.60 Ibs, with 0 MPH Crosswind.CSV,14952.89,25.970595000000003,8.780205,1064.8553956473,2868.845
M2000 Base, 57.60 Ibs, with 12 MPH Crosswind.CSV,14816.6,25.830595000000002,8.860205,1060.391,2859.458
M2000 Base, 57.60 Ibs, with 16 MPH Crosswind.CSV,14719.54,25.720585,8.930204999999999,1056.834,2851.953
M2000 Base, 57.60 Ibs, with 20 MPH Crosswind.CSV,14594.77,25.570585,9.010205,1052.253,2842.275
M2000 Base, 57.60 Ibs, with 4 MPH Crosswind.CSV,14926.34,25.920595,8.790205,1064.441,2867.99
M2000 Base, 57.60 Ibs, with 8 MPH Crosswind.CSV,14885.31,25.890594999999998,8.820205,1062.918,2864.795
M2000 Base, 59.60 Ibs, with 0 MPH Crosswind.CSV,14336.84,25.510585,9.380215,1026.8215293248,2758.049
M2000 Base, 59.60 Ibs, with 12 MPH Crosswind.CSV,14206.42,25.380584999999996,9.480215,1022.499,2748.868
M2000 Base, 59.60 Ibs, with 16 MPH Crosswind.CSV,14113.57,25.290574999999997,9.550215,1019.068,2741.555
M2000 Base, 59.60 Ibs, with 20 MPH Crosswind.CSV,13993.63,25.130575,9.640225,1014.62,2732.106
M2000 Base, 59.60 Ibs, with 4 MPH Crosswind.CSV,14311.72,25.460585000000002,9.400215,1026.416,2757.186
M2000 Base, 59.60 Ibs, with 8 MPH Crosswind.CSV,14272.47,25.450584999999997,9.430215,1024.95,2754.07
M2400 Base, 44.00 Ibs, with 0 MPH Crosswind.CSV,14719.49,25.680583,8.970193,1140.14740053197,2538.967
M2400 Base, 44.00 Ibs, with 12 MPH Crosswind.CSV,14620.92,25.580572999999998,9.030193,1137.052,2533.64
M2400 Base, 44.00 Ibs, with 16 MPH Crosswind.CSV,14552.87,25.520573,9.080203000000001,1134.504,2529.158
M2400 Base, 44.00 Ibs, with 20 MPH Crosswind.CSV,14456.08,25.380573,9.140203,1130.85,2522.674
M2400 Base, 44.00 Ibs, with 4 MPH Crosswind.CSV,14697.33,25.640573,8.980193,1139.918,2538.684
M2400 Base, 44.00 Ibs, with 8 MPH Crosswind.CSV,14668.77,25.620573,9.000193,1138.848,2536.797
M2400 Base, 46.00 Ibs, with 0 MPH Crosswind.CSV,14328.65,25.500573,9.450203,1100.99718337397,2425.037
M2400 Base, 46.00 Ibs, with 12 MPH Crosswind.CSV,14232.55,25.400572999999998,9.520213,1097.973,2419.835
M2400 Base, 46.00 Ibs, with 16 MPH Crosswind.CSV,14166.58,25.330572999999998,9.570213,1095.499,2415.535
M2400 Base, 46.00 Ibs, with 20 MPH Crosswind.CSV,14073.86,25.220563,9.640213000000001,1092.01,2409.409
M2400 Base, 46.00 Ibs, with 4 MPH Crosswind.CSV,14307.44,25.460573,9.460203,1100.774,2424.729
M2400 Base, 46.00 Ibs, with 8 MPH Crosswind.CSV,14279.47,25.450573,9.480203,1099.725,2422.897
M2400 Base, 48.00 Ibs, with 0 MPH Crosswind.CSV,13834.76,25.200563,10.050223,1061.16168462815,2318.013
M2400 Base, 48.00 Ibs, with 12 MPH Crosswind.CSV,13741.18,25.100562999999998,10.120223000000001,1058.151,2312.843
M2400 Base, 48.00 Ibs, with 16 MPH Crosswind.CSV,13676.54,25.040563,10.170223,1055.719,2308.613
M2400 Base, 48.00 Ibs, with 20 MPH Crosswind.CSV,13587.64,24.930563,10.250223,1052.344,2302.738
M2400 Base, 48.00 Ibs, with 4 MPH Crosswind.CSV,13814.49,25.170562999999998,10.060223,1060.935,2317.669
M2400 Base, 48.00 Ibs, with 8 MPH Crosswind.CSV,13787.21,25.140563,10.080223,1059.894,2315.861
M2400 Base, 50.00 Ibs, with 0 MPH Crosswind.CSV,13233.65,24.770553,10.800233,1019.21132604059,2217.198
M2400 Base, 50.00 Ibs, with 12 MPH Crosswind.CSV,13144.83,24.660553,10.880243,1016.336,2212.173
M2400 Base, 50.00 Ibs, with 16 MPH Crosswind.CSV,13083.29,24.600552999999998,10.940243,1014.007,2208.083
